"Front","Back"
"什么是自编码器 (AutoEncoder)？","一种无监督学习的神经网络架构，由编码器和解码器组成，旨在学习数据的压缩表示（编码），然后从该表示重建原始数据（解码）。"
"自编码器的生动类比是什么？","就像一个""信息压缩和还原游戏""。把一本厚书的内容用一页纸概括（编码），然后仅凭这页纸的概括重新写出接近原书的内容（解码）。这个""概括""就是自编码器学到的低维表示。"
"自编码器的核心概念有哪些？","编码器 (Encoder), 解码器 (Decoder), 隐空间 (Latent Space), 瓶颈层 (Bottleneck), 重建损失 (Reconstruction Loss)。"
"自编码器的工作流程是怎样的？","1. 编码器将高维输入压缩为低维隐编码。 2. 解码器从隐编码重建数据。 3. 计算重建数据与原始输入的差异（重建损失）。 4. 通过反向传播最小化重建损失来训练网络。"
"什么是去噪自编码器 (Denoising AE)？","一种自编码器变体，其输入是加了噪声的原始数据，但目标是重建出干净的原始数据。这迫使模型学习更鲁棒的特征，对噪声不敏感。"
"什么是变分自编码器 (VAE)？","一种生成式自编码器，它学习的不是将输入编码为单个点，而是编码为一个概率分布（通常是高斯分布）。这使得可以从隐空间中采样来生成新的数据。"
"自编码器在异常检测中是如何应用的？","自编码器在正常数据上训练，学习正常数据的模式。当输入异常数据时，由于模型没有学习过这种模式，其重建误差会显著高于正常数据，从而可以检测出异常。"
"自编码器与PCA（主成分分析）有何不同？","PCA是一种线性降维方法，而自编码器（特别是使用非线性激活函数时）能够学习非线性的降维映射，通常比PCA更强大。"
"自编码器有哪些主要应用场景？","降维与数据可视化、异常检测、图像去噪、图像压缩、推荐系统（协同过滤）、特征提取（无监督预训练）。"
"什么是欠完备自编码器 (Undercomplete AE)？","指隐层维度小于输入维度的自编码器。这种结构强制网络学习数据的压缩表示，从而实现降维。"
