"Front","Back"
"什么是生成对抗网络 (GAN)？","GAN是一种深度学习架构，由两个相互竞争的神经网络组成：生成器 (Generator) 和判别器 (Discriminator)。生成器试图创造逼真的假数据，而判别器则努力区分真实数据和假数据。通过这种“对抗训练”，生成器最终能学会生成高质量、逼真的数据。"
"GAN的生动类比是什么？","GAN就像“造假者与侦探”的博弈游戏。造假者（生成器）努力制作逼真的假钞，而侦探（判别器）则不断提升辨别真伪的能力。在这个“猫鼠游戏”中，双方共同进步，最终造假者能制作出以假乱真的作品。"
"GAN中的生成器 (Generator) 的作用是什么？","生成器的任务是从一个随机的噪声向量（来自隐空间）中生成数据。它的目标是生成尽可能逼真的数据，以“欺骗”判别器，使其无法分辨出这是假数据。"
"GAN中的判别器 (Discriminator) 的作用是什么？","判别器的任务是一个二元分类器。它接收真实数据和生成器生成的假数据，并判断输入是“真实的”还是“伪造的”。它的目标是尽可能准确地识别出假数据。"
"什么是GAN的“对抗训练 (Adversarial Training)”？","这是一种交替训练生成器和判别器的过程。首先，固定生成器，训练判别器以更好地区分真假数据。然后，固定判别器，训练生成器以更好地欺骗判别器。这个过程反复进行，直到达到一个平衡点。"
"什么是GAN训练中的“模式崩溃 (Mode Collapse)”问题？","模式崩溃是指生成器找到了一个或少数几个特别能骗过判别器的样本，于是它就只生成这些样本，而不再生成多样化的数据。这导致生成结果缺乏多样性，是GAN训练中的一个主要挑战。"
"什么是DCGAN (Deep Convolutional GAN)？","DCGAN是将卷积神经网络（CNN）成功应用于GAN的架构。它使用卷积层代替全连接层，并采用了一系列架构上的指导方针（如使用BatchNorm、LeakyReLU激活函数），显著稳定了GAN的训练并提升了生成图像的质量。"
"什么是条件GAN (Conditional GAN, cGAN)？","cGAN是对原始GAN的扩展，它允许在生成过程中加入额外的条件信息（如类别标签、文本描述等）。这使得可以控制生成的内容，例如指定生成“一只猫”的图像，而不是随机生成。"
"CycleGAN解决了什么问题？","CycleGAN解决了非配对图像到图像翻译的问题。例如，它可以将一批莫奈的画作转换成照片风格，而不需要每张画都有对应的真实照片。它通过引入“循环一致性损失”来实现这一点。"
"WGAN (Wasserstein GAN) 是如何改进GAN的训练稳定性的？","WGAN使用Wasserstein距离（也称“推土机距离”）来替代原始GAN中的JS散度作为损失函数。这提供了一个更平滑、更有意义的梯度，有助于缓解模式崩溃和训练不稳定的问题。"
"GAN与Diffusion模型在生成任务上有什么主要区别？","**生成速度**：GAN生成速度快（一次前向传播），而Diffusion模型慢（多步迭代去噪）。**训练稳定性**：GAN训练不稳定，易模式崩溃；Diffusion模型训练更稳定。**样本质量**：当前顶级的Diffusion模型通常能生成比GAN更高质量和更多样性的样本。"
"GAN有哪些主要应用场景？","图像生成（如生成人脸）、图像编辑（如风格迁移、人脸老化）、图像到图像翻译、超分辨率、数据增强（生成合成训练数据）以及视频生成等。"
